,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
391,Craig Zobel,"The Hunt, Compliance",10550350.0,592116.0,5571233.0,65.0,64.0,64.5
392,Alfredo Rodriguez de Villa,Nothing Like the Holidays,7519490.0,7519490.0,7519490.0,61.0,61.0,61.0
393,Alexandre Rockwell,Four Rooms,4257354.0,4257354.0,4257354.0,67.0,67.0,67.0
394,Michelle Garza Cervera,Huesera: The Bone Woman,1685816.0,1685816.0,1685816.0,61.0,61.0,61.0
395,Jason Yu,Sleep,10331786.0,10331786.0,10331786.0,69.0,69.0,69.0
396,Jonathan Entwistle,Untitled Karate Kid Movie,,,,,,
397,Fernando Vallejo,Fragments of Love,,,,55.0,55.0,55.0
398,Chuck Russell,"The Blob, The Scorpion King, A Nightmare on Elm Street 3: Dream Warriors, Paradise City, Eraser, I Am Wrath, The Mask",351583407.0,93526.0,118267599.71428572,69.0,37.0,58.42857142857143
399,Abhilash Joshiy,King of Kotha,844233.0,844233.0,844233.0,61.0,61.0,61.0
400,Yimou Zhang,"The Great Wall, Hero, The Flowers of War, House of Flying Daggers, Shadow, To Live, Full River Red",334933831.0,403746.0,100356260.71428572,83.0,59.0,72.28571428571429
401,Sally Potter,Orlando,5409423.0,5409423.0,5409423.0,71.0,71.0,71.0
402,Andrew Baird,Zone 414,3703.0,3703.0,3703.0,50.0,50.0,50.0
403,Michael Lockshin,Silver Skates,7099734.0,7099734.0,7099734.0,71.0,71.0,71.0
404,Amir Shervan,Samurai Cop,384756.0,384756.0,384756.0,46.0,46.0,46.0
405,Julien Hollande,All-Time High,,,,56.0,56.0,56.0
406,Brett Haley,All the Bright Places,,,,66.0,66.0,66.0
407,Jon Erwin,"Jesus Revolution, I Can Only Imagine, I Still Believe, American Underdog",86086881.0,16069730.0,45726956.25,73.0,65.0,70.0
408,Charlie Bean,"The Lego Ninjago Movie, Lady and the Tramp",123764177.0,123764177.0,123764177.0,62.0,60.0,61.0
409,Sean S. Cunningham,"Friday the 13th, Spring Break",39911960.0,24071666.0,31991813.0,64.0,49.0,56.5
410,Daniel Kaluuya,The Kitchen,,,,77.0,77.0,77.0
411,Megan Simpson Huberman,Dating the Enemy,,,,64.0,64.0,64.0
412,Peter Kosminsky,White Oleander,21672284.0,21672284.0,21672284.0,71.0,71.0,71.0
413,Derek Tsang,Better Days,225918798.0,225918798.0,225918798.0,76.0,76.0,76.0
414,Nicholas Stoller,"Forgetting Sarah Marshall, Bros, Neighbors, Storks, Get Him to the Greek, Neighbors 2: Sorority Rising, The Five-Year Engagement",270665134.0,14781867.0,118425369.71428572,71.0,57.0,64.0
415,Mukunda Michael Dewil,The Immaculate Room,9979.0,9979.0,9979.0,51.0,51.0,51.0
416,Abe Sylvia,Dirty Girl,143485.0,143485.0,143485.0,64.0,64.0,64.0
417,Lance Daly,Black '47,2073063.0,2073063.0,2073063.0,68.0,68.0,68.0
418,Kirk DeMicco,"The Croods, Vivo, Ruby Gillman: Teenage Kraken",587235983.0,278381.0,211012988.0,72.0,57.0,65.33333333333333
419,Alexandre Aja,"The Hills Have Eyes, Piranha 3D, Mirrors, High Tension, Horns, Crawl, Oxygen",91542097.0,3875442.0,55500280.666666664,67.0,55.0,62.42857142857143
420,Christian Carion,"Driving Madeleine, My Son",5143552.0,962689.0,3053120.5,70.0,60.0,65.0
421,Lana Wilson,Miss Americana,,,,74.0,74.0,74.0
422,Gail Mancuso,A Dog's Journey,78871079.0,78871079.0,78871079.0,74.0,74.0,74.0
423,Maresh Shivan,Ala Ninnu Cheri,,,,87.0,87.0,87.0
424,Phillip Noyce,"The Giver, Fast Charlie, Salt, Clear and Present Danger, Sliver, The Bone Collector, The Saint, Patriot Games, Above Suspicion, Dead Calm, The Desperate Hour, Rabbit-Proof Fence",293503354.0,25396.0,106012699.0,88.0,49.0,65.08333333333333
425,Piero Vivarelli,Summer Temptations,,,,47.0,47.0,47.0
426,Adil El Arbi,"Bad Boys 4, Bad Boys for Life, Batgirl",426505244.0,426505244.0,426505244.0,65.0,65.0,65.0
